tis_number,tis_name_th,num_manufacturing_licenses,num_manufacturing_entrepreneurs,num_import_licenses,num_import_entrepreneurs,num_display_licenses,num_display_entrepreneurs,total_licenses,snapshot_date
194-2535,ลวดเหล็กกล้าคาร์บอนต่ำ,0,0,0,0,43,28,43,2025-11-01
1955-2551,บริภัณฑ์ส่องสว่างและบริภัณฑ์ที่คล้ายกัน : ขีดจำกัดสัญญาณรบกวนวิทยุ,890,219,4719,847,0,0,5609,2025-11-01
1956-2553,บริภัณฑ์เทคโนโลยีสารสนเทศ : ขีดจำกัดสัญญาณรบกวนวิทยุ,0,0,0,0,20,5,20,2025-11-01
1984-2543,แผ่นยิปซัมเสริมใยแก้ว,0,0,0,0,2,1,2,2025-11-01
199-2534,ซิป,0,0,0,0,2,1,2,2025-11-01
1999-2560,เหล็กกล้าทรงแบนรีดร้อน สำหรับงานโครงสร้างรถยนต์,51,38,162,47,0,0,213,2025-11-01
20-2559,เหล็กเส้นเสริมคอนกรีต : เหล็กเส้นกลม,38,34,0,0,0,0,38,2025-11-01
200-2536,ลวดเสียบกระดาษ,0,0,0,0,1,1,1,2025-11-01
2011-2563,เหล็กกล้าทรงแบนรีดร้อน ที่ต้านการกัดกร่อนได้ดีในบรรยากาศ,1,1,0,0,0,0,1,2025-11-01
2012-2558,เหล็กกล้าทรงแบนรีดเย็น สำหรับงานทั่วไปและงานดึงขึ้นรูป,75,55,303,86,0,0,378,2025-11-01
205-2530,พัดลมไฟฟ้ากระแสสลับชนิดแขวนเพดาน,0,0,0,0,4,2,4,2025-11-01
2060-2560,เหล็กกล้าทรงแบนรีดร้อน สำหรับงานถังก๊าซ,10,7,10,3,0,0,20,2025-11-01
2062-2558,กระติกน้ำร้อนไฟฟ้า คุณลักษณะที่ต้องการด้านความปลอดภัย,14,14,36,26,0,0,50,2025-11-01
2066-2552,ฝักบัวอาบน้ำ เฉพาะด้านสิ่งแวดล้อม : การประหยัดน้ำ,42,27,564,187,0,0,606,2025-11-01
2067-2552,ก๊อกน้ำสำหรับเครื่องสุขภัณฑ์ เฉพาะด้านสิ่งแวดล้อม : การประหยัดน้ำ,76,25,487,148,0,0,563,2025-11-01
207-2562,คลอรีนเหลว,0,0,0,0,6,5,6,2025-11-01
208-2566,ตาข่ายลวดเหล็กเคลือบสังกะสี,0,0,0,0,1,1,1,2025-11-01
2083-2544,ผลิตภัณฑ์ทำความสะอาดสำหรับกระเบื้องและเครื่องสุขภัณฑ์เซรามิก ประเภทสารลดแรงตึงผิว,0,0,0,0,1,1,1,2025-11-01
2084-2552,กระบอกฉีดอินซูลินปราศจากเชื้อชนิดใช้ครั้งเดียว,0,0,0,0,1,1,1,2025-11-01
2085-2556,เกลือบริโภคเสริมไอโอดีน,0,0,0,0,1,1,1,2025-11-01
2086-2556,เกลือบริโภคบริสุทธิ์เสริมไอโอดีน,0,0,0,0,2,2,2,2025-11-01
2090-2564,เบียร์,0,0,0,0,1,1,1,2025-11-01
21-2515,เครื่องเงิน,0,0,0,0,2,2,2,2025-11-01
2107-2544,หัวดับเพลิงไม่มีประตูน้ำ,0,0,0,0,2,2,2,2025-11-01
