ลำดับ,เลขที่ มอก.,ชื่อ มอก. ภาษาไทย,ชื่อ มอก. ภาษาอังกฤษ,ประเภทมาตรฐาน,จำนวนใบอนุญาตทำ,จำนวนผู้ประกอบการทำ,จำนวนใบอนุญาตนำเข้า,จำนวนผู้ประกอบการนำเข้า,จำนวนใบอนุญาตแสดง,จำนวนผู้ประกอบการแสดง,จำนวนใบอนุญาตทั้งหมด
625,6 เล่ม 1-2559,แบตเตอรี่ใช้สตาร์ต ชนิดตะกั่ว-กรด เล่ม 1 คุณลักษณะที่ต้องการทั่วไปและวิธีทดสอบ,Lead-acid starter batteries - Part 1: General requirements and methods of test,ทั่วไป,0,0,0,0,1,1,1
626,603-2546,ภาชนะแก้วที่ใช้กับอาหาร,Glassware in contact with food,ทั่วไป,0,0,0,0,1,1,1
627,610-2552,น้ำยาลอกสี,paint remover,ทั่วไป,0,0,0,0,1,1,1
628,622-2529,ท่อซีเมนต์ใยหินสำหรับงานระบายน้ำทั่วไป,Sewerage and drainage asbestos cement pipes,ทั่วไป,0,0,0,0,1,1,1
629,640 เล่ม 3-2553,เอทานอลใช้เป็นเชื้อเพลิง,Ethanol for fuel use,ทั่วไป,0,0,0,0,1,1,1
630,653-2554,ภาชนะพลาสติกสำหรับบรรจุนมและผลิตภัณฑ์นม,Plastic containers for milk and milk products,ทั่วไป,0,0,0,0,1,1,1
631,696-2530,ลูกกวาดและทอฟฟี่,Hard candies and toffees,ทั่วไป,0,0,0,0,1,1,1
632,697-2530,ยางหุ้มขอบกระจกรถยนต์,Weather strips for automobile,ทั่วไป,0,0,0,0,1,1,1
633,713-2541,จาระบี,Lubricating grease,ทั่วไป,0,0,0,0,1,1,1
634,717-2530,เครื่องเย็บกระดาษ,Staplers,ทั่วไป,0,0,0,0,1,1,1
635,719-2530,แบตเตอรี่รถจักรยานยนต์,Motorcycle batteries,ทั่วไป,0,0,0,0,1,1,1
636,75-2560,ปุ๋ยเคมี,Chemical fertilizers,ทั่วไป,0,0,0,0,1,1,1
637,757-2531,กุญแจคล้องสายยู,Padlocks,ทั่วไป,0,0,0,0,1,1,1
638,758-2551,กระดาษหนังสือพิมพ์,Newsprint,ทั่วไป,0,0,0,0,1,1,1
639,777-2552,กระบอกฉีดยาผ่านใต้ผิวหนังปราศจากเชื้อชนิดใช้ครั้งเดียว,Sterile hypodermic syringes for single use,ทั่วไป,0,0,0,0,1,1,1
640,788-2531,ไส้หม้อกรองอากาศที่ใช้กับเครื่องยนต์สันดาปภายใน,Air filters for internal combustion engines,ทั่วไป,0,0,0,0,1,1,1
641,800-2545,ยางขอบประตูรถยนต์,Door weather strips for automobiles,ทั่วไป,0,0,0,0,1,1,1
642,821-2554,ปากกาสีน้ำ,Water-based marking pens,ทั่วไป,0,0,0,0,1,1,1
643,84-2552,ชอล์กสำหรับกระดานดำ,Chalk for blackboard,ทั่วไป,0,0,0,0,1,1,1
644,862-2532,บานพับสำหรับหน้าต่าง : บานพับปรับมุมชนิดฝืด,Window hinges: friction hinges,ทั่วไป,0,0,0,0,1,1,1
645,913-2550,แคปซูลเจลาตินชนิดแข็ง,Hard gelatin capsules,ทั่วไป,0,0,0,0,1,1,1
646,927-2533,แบไรต์สำหรับเจาะบ่อปิโตรเลียม,Barite for petroleum-well drilling,ทั่วไป,0,0,0,0,1,1,1
647,948-2556,แป้งถั่วเขียว,Mung bean starch,ทั่วไป,0,0,0,0,1,1,1
648,955 เล่ม 6-2554,สายไฟฟ้าหุ้มฉนวนยาง แรงดันไฟฟ้าที่กำหนดไม่เกิน 450/750 โวลต์ เล่ม 6 สายอิเล็กโทรดของเครื่องเชื่อมอาร์ก,Rubber insulated cables - rated voltages up to and including 450/750 V - Part 6: ARC welding electrode cables,ทั่วไป,0,0,0,0,1,1,1
649,967-2533,กระเทียมผง,Dehydrated garlic powder,ทั่วไป,0,0,0,0,1,1,1
650,980-2552,น้ำยางข้นธรรมชาติ,Natural rubber latex concentrate,ทั่วไป,0,0,0,0,1,1,1
651,2085-2556,เกลือบริโภคเสริมไอโอดีน,Edible common iodised salt,ทั่วไป,0,0,0,0,1,1,1
652,1062-2561,ท่อยางสำหรับงานเชื่อม งานตัด และงานประกบด้วยก๊าซ,"Rubber hoses for welding, cutting and allied processes",ทั่วไป,0,0,0,0,1,1,1
653,2821-2560,พอลิอะลูมิเนียมคลอไรด์ชนิดผง,Polyaluminium chloride powder,ทั่วไป,0,0,0,0,1,1,1
654,764-2561,ชุดปีกผีเสื้อใช้ครั้งเดียว,Scalp vein sets for single use,ทั่วไป,0,0,0,0,1,1,1
655,2517-2561,หลอดให้สารละลายทางหลอดเลือดแบบมีเข็มนำใช้ครั้งเดียว,Over-needle peripheral catheters for single use,ทั่วไป,0,0,0,0,1,1,1
656,96 เล่ม 2-2560,แบตเตอรี่ปฐมภูมิ เล่ม 2 ข้อกำหนดคุณลักษณะทางรูปร่างและทางไฟฟ้า,Primary batteries - Part 2 : Physical and electrical specifications,ทั่วไป,0,0,0,0,1,1,1
657,2707-2560,ถังก๊าซ - ถังอะลูมิเนียมเจือมีรอยเชื่อมประเภทบรรจุก๊าซซ้ำ - การออกแบบ การสร้าง และการทดสอบ,"Gas Cylinders - Refillable welded aluminium - alloy cylinders - design, construction and testing",ทั่วไป,0,0,0,0,1,1,1
658,239-2561,กระดาษเช็ดมือ,Hand towel paper,ทั่วไป,0,0,0,0,1,1,1
659,240-2561,กระดาษเช็ดปาก,Napkin paper,ทั่วไป,0,0,0,0,1,1,1
660,2441-2562,ถังก๊าซปิโตรเลียมเหลว : ถังคอมโพสิต,Liquefied petroleum gas container : composite cylinder,ทั่วไป,0,0,0,0,1,1,1
661,3002-2562,อุปกรณ์ควบคุมหลอด - คุณลักษณะที่ต้องการเฉพาะสำหรับอุปกรณ์ควบคุมอิเล็กทรอนิกส์ ที่ใช้แหล่งจ่ายไฟฟ้ากระแสตรงหรือไฟฟ้ากระแสสลับสำหรับมอดูลแอลอีดี,Lamp controlgear - Part 2-13 : Particular requirements for D.C. or A.C. supplied electronic controlgear for LED modules,ทั่วไป,0,0,0,0,1,1,1
662,609-2559,สีพ่นยานยนต์แห้งเร็วไนโตรเซลลูโลส: สีพื้นรองทับหน้า,Vehicle nitrocellulose lacquer: Primer surface,ทั่วไป,0,0,0,0,1,1,1
663,2984-2562,ตู้น้ำดื่มหยอดเหรียญอัตโนมัติ,Drinking water vending machine,ทั่วไป,0,0,0,0,1,1,1
664,3030-2563,เครื่องตรวจวัดฝุ่นละอองลอยหลักการไฟฟ้าสถิต,Electrostatic aerosol particulate matter (PM) monitor,ทั่วไป,0,0,0,0,1,1,1
665,1316-2562,ชั้นโลหะวางของ,Metal shelf,ทั่วไป,0,0,0,0,1,1,1
666,3024 เล่ม 1-2563,ส่วนประกอบระบบป้องกันฟ้าผ่า (LPSC) เล่ม 1 คุณลักษณะที่ต้องการสำหรับส่วนประกอบเชื่อมต่อ,Lightning protection system components (LPSC) - Part 1: Requirements for connection components,ทั่วไป,0,0,0,0,1,1,1
667,3024 เล่ม 4-2563,ส่วนประกอบระบบป้องกันฟ้าผ่า (LPSC) เล่ม 4 คุณลักษณะที่ต้องการสำหรับตัวยึดตัวนำ,Lightning protection system components (LPSC) - Part 4: Requirements for conductor fasteners,ทั่วไป,0,0,0,0,1,1,1
668,2892-2563,ซีเมนต์ยาแนวสำหรับกระเบื้องเซรามิก,Cement grout for ceramic tile,ทั่วไป,0,0,0,0,1,1,1
669,93-2563,แหนบแผ่น - คุณลักษณะทางเทคนิค,Leaf spring - Technical specifictions,ทั่วไป,0,0,0,0,1,1,1
670,2959-2562,เทอร์โมฟอร์มิงรับเบอร์,Thermoforming rubber,ทั่วไป,0,0,0,0,1,1,1
671,183-2562,โกลว์สตาร์ตเตอร์สำหรับหลอดฟลูออเรสเซนซ์,Glow-starters for fluorescent lamps,บังคับ,0,0,1,1,0,0,1
672,2011-2563,เหล็กกล้าทรงแบนรีดร้อน ที่ต้านการกัดกร่อนได้ดีในบรรยากาศ,Hot-rolled flat steel with improved atmospheric corrosion resistance,บังคับ,1,1,0,0,0,0,1
673,897-2564,ไฮโดรเจนเพอร์ออกไซด์สำหรับอุตสาหกรรม,Hydrogen peroxide for industrial uses,ทั่วไป,0,0,0,0,1,1,1
674,132-2564,รองเท้าผ้าใบ,Canvas shoes,ทั่วไป,0,0,0,0,1,1,1
675,3209-2564,เครื่องยนต์แก๊สโซลีนขนาดเล็กระบายความร้อนด้วยอากาศ,Small air cooled gasoline engine,ทั่วไป,0,0,0,0,1,1,1
676,2090-2564,เบียร์,Beer,ทั่วไป,0,0,0,0,1,1,1
677,2303-2564,แผ่นฉนวนความร้อนใยแร่,Mineral fiber thermal insulation,ทั่วไป,0,0,0,0,1,1,1
678,2243-2564,เหล็กลวดคาร์บอนสำหรับงานย้ำหัวและงานทุบขึ้นรูปเย็น,Carbon steel wire rods for cold heading,ทั่วไป,0,0,0,0,1,1,1
679,8-2564,ซอสปรุงรส,Seasoning sauce,ทั่วไป,0,0,0,0,1,1,1
680,3357-2565,เสาเข็มเหล็กกล้าแบบเกลียว,Screw steel piles,ทั่วไป,0,0,0,0,1,1,1
681,3359-2565,อะลูมิเนียมกันกร่อนสำหรับป้องกันสนิมแบบแคโทดิก,Aluminium anode for cathodic corrosion protection,ทั่วไป,0,0,0,0,1,1,1
682,274-2565,แป้งมันสำปะหลัง,Tapioca starch,ทั่วไป,0,0,0,0,1,1,1
683,3413-2565,ลูกบอลดับเพลิงอัตโนมัติ,Automatic fire fighting ball,ทั่วไป,0,0,0,0,1,1,1
684,3426-2565,เสาเข็มคอนกรีตกำลังสูงอัดแรงแบบแรงเหวี่ยง,Pretensiones spun high strength concrete piles,ทั่วไป,0,0,0,0,1,1,1
685,3438-2565,กระดาษสัมผัสอาหารสำหรับปรุงอาหารด้วยความร้อน,Cooking paper,ทั่วไป,0,0,0,0,1,1,1
686,3459-2565,โซ่เหล็กกล้า,Steel chain,ทั่วไป,0,0,0,0,1,1,1
687,618-2565,สารยึดสำหรับสีและวาร์นิช : แอลคีดเรซิน,Binders for paints and varnishes : ALKYD resins,ทั่วไป,0,0,0,0,1,1,1
688,1398-2565,เข็มฉีดยาผ่านใต้ผิวหนังปราศจากเชื้อชนิดใช้ครั้งเดียว,STERILE HYPODERMIC NEEDLES FOR SINGLE USE,ทั่วไป,0,0,0,0,1,1,1
689,3554-2566,ปั๊มไฮดรอลิกแบบใบพัดสำหรับอุตสาหกรรมทั่วไป,HYDRAULIC VANE PUMP FOR GENERAL INDUSTRIES,ทั่วไป,0,0,0,0,1,1,1
690,3586-2566,แผ่นพีวีซีมุงหลังคา,UNPLASTICIZED POLY(VINYL CHLORIDE) (PVC-U) SHEETS FOR ROOFING,ทั่วไป,0,0,0,0,1,1,1
691,3584-2566,ผนังกระจก,CURTAIN WALL,ทั่วไป,0,0,0,0,1,1,1
692,3606-2566,เครื่องจักรผสมวัตถุระเบิดแอนโฟสำหรับใช้ในงานอุตสาหกรรม,PROCESS EQUIPMENT FOR ANFO EXPLOSIVE IN INDUSTRIAL WORK,ทั่วไป,0,0,0,0,1,1,1
693,208-2566,ตาข่ายลวดเหล็กเคลือบสังกะสี,GALVANIZED WIRE NETTING,ทั่วไป,0,0,0,0,1,1,1
694,2346-2566,เสื้อผ้าสำเร็จรูป : ความปลอดภัยจากสีและสารเคมีที่เป็นอันตราย,GARMENTS : SAFETY FROM HARMFUL DYESTUFFS AND CHEMICAL SUBSTANCES,ทั่วไป,0,0,0,0,1,1,1
695,400-2566,เส้นหมี่,RICE VERMICELLI,ทั่วไป,0,0,0,0,1,1,1
696,794-2567,เครื่องสุขภัณฑ์เซรามิก : โถส้วมนั่งยอง,CERAMIC SANITARY WARES : SQUATTING WATER-CLOSET PANS,ทั่วไป,0,0,0,0,1,1,1
697,431-2567,ประตูน้ำทองแดงเจือแบบลิ้นยก,COPPER ALLOY GATE VALVES,ทั่วไป,0,0,0,0,1,1,1
698,1495-2567,เครื่องเรือนสำหรับสถานศึกษา : เก้าอี้เรียน,EDUCATIONAL INSTITUTION FURNITURE : CHAIRS,ทั่วไป,0,0,0,0,1,1,1
699,2981-2567,เหล็กกล้าทรงแบนเคลือบสังกะสีผสมอะลูมิเนียม 5% ขึ้นไป และแมกนีเซียม 2% ขึ้นไป โดยกรรมวิธีจุ่มร้อน,HOT-DIP ZINC - ALUMINIUM (5% and above) - MAGNESIUM (2% and above) - ALLOY-COATED FLAT STEEL,ทั่วไป,0,0,0,0,1,1,1
700,386-2567,เทปกาวพลาสติกไซซ์พอลิไวนิลคลอไรด์สำหรับใช้ในงานทางไฟฟ้า,PLASTICIZED POLYVINYL CHLORIDE ADHESIVE TAPE FOR ELECTRICAL PURPOSES ,ทั่วไป,0,0,0,0,1,1,1
