tis_number,tis_name_th,snapshot_date,num_manufacturing_licenses,num_import_licenses,import_dependency_ratio,domestic_share_ratio
1378-2559,เหล็กกล้าไร้สนิมทรงแบนรีดเย็น แผ่นม้วน แผ่นแถบ และแผ่นตัด,2025-11-01,0,0,0.0,0.0
1379-2551,ถังเก็บน้ำพลาสติก,2025-11-01,0,0,0.0,0.0
138-2562,ลวดผูกเหล็ก,2025-11-01,0,0,0.0,0.0
1388-2539,ทองแดงและทองแดงเจือแผ่นและแผ่นแถบ,2025-11-01,0,0,0.0,0.0
1389-2559,เครื่องอบผ้า คุณลักษณะที่ต้องการด้านความปลอดภัย,2025-11-01,6,83,0.9325842591844465,0.06741572957959854
1390-2560,เข็มพืดเหล็กกล้ารีดร้อน,2025-11-01,1,7,0.8749998906250137,0.12499998437500197
1394-2561,สายดูดเสมหะสำหรับใช้ครั้งเดียว,2025-11-01,0,0,0.0,0.0
1395-2562,บล็อกแก้วกลวง,2025-11-01,0,0,0.0,0.0
1398-2565,เข็มฉีดยาผ่านใต้ผิวหนังปราศจากเชื้อชนิดใช้ครั้งเดียว,2025-11-01,0,0,0.0,0.0
14-2565,มอโนโซเดียม แอล-กลูทาเมต,2025-11-01,0,0,0.0,0.0
1404-2540,ที่นอนฟองน้ำโพลิยูรีเทน,2025-11-01,0,0,0.0,0.0
1406-2564,สีเคลือบด้านแอลคีด,2025-11-01,0,0,0.0,0.0
1407-2540,กระเบื้องซีเมนต์เส้นใยแผ่นลอน,2025-11-01,0,0,0.0,0.0
1413-2540,ประตูน้ำเหล็กหล่อ : ลิ้นยกแบบลิ้นหุ้มยางสำหรับงานประปา,2025-11-01,0,0,0.0,0.0
1414-2540,แผงรั้วโลหะ,2025-11-01,0,0,0.0,0.0
1419-2540,เครื่องกรองน้ำชนิดใช้ถ่านกัมมันต์เม็ดและเรซินแลกเปลี่ยนแคตไอออน,2025-11-01,0,0,0.0,0.0
1420-2551,ไส้กรองความขุ่นสำหรับเครื่องกรองน้ำดื่ม,2025-11-01,0,0,0.0,0.0
1424-2540,เครื่องเรือนสำหรับสำนักงาน: ฉากกั้นห้อง,2025-11-01,0,0,0.0,0.0
1425-2540,ที่นอนยางฟองน้ำลาเทกซ์,2025-11-01,0,0,0.0,0.0
1427-2561,แผ่นซีเมนต์เส้นใย : แผ่นเรียบ,2025-11-01,0,0,0.0,0.0
1436 เล่ม 2-2564,ชุดประกอบสวิตช์เกียร์และเกียร์ควบคุมไฟฟ้าแรงดันต่ำ เล่ม 2 ชุดสวิตช์เกียร์และชุดเกียร์ควบคุม,2025-11-01,0,0,0.0,0.0
1436 เล่ม 3-2564,ชุดประกอบสวิตช์เกียร์และเกียร์ควบคุมไฟฟ้าแรงดันต่ำ เล่ม 3 บอร์ดจ่ายไฟฟ้าประสงค์ให้ใช้งานโดยบุคคลทั่วไป,2025-11-01,20,0,0.0,0.9999999500000024
1439-2558,ท่อเหล็กกล้าไร้สนิมออสเทไนต์สำหรับหม้อน้ำเครื่องกำเนิดไอน้ำยวดยิ่ง เครื่องแลกเปลี่ยนความร้อน และเครื่องควบแน่น,2025-11-01,0,0,0.0,0.0
1462-2562,เครื่องซักผ้าใช้ในที่อยู่อาศัย-คุณลักษณะที่ต้องการด้านประสิทธิภาพพลังงาน,2025-11-01,10,79,0.8876404394647142,0.11235954929933091
1463-2556,เครื่องซักผ้าใช้ในที่อยู่อาศัย - คุณลักษณะที่ต้องการด้านความปลอดภัย,2025-11-01,21,155,0.8806818131779443,0.11931818114023761
1479-2558,เหล็กกล้าทรงแบนรีดร้อน สำหรับงานโครงสร้างทั่วไป,2025-11-01,93,407,0.813999998372,0.185999999628
1483-2549,ท่อไฟเบอร์กลาสส์รับความดันสำหรับงานประปา,2025-11-01,0,0,0.0,0.0
1484-2540,ท่อไฟเบอร์กลาสส์รับความดันสำหรับงานอุตสาหกรรมและงานระบายน้ำเสีย,2025-11-01,0,0,0.0,0.0
1485-2540,ท่อไฟเบอร์กลาสส์ไม่รับความดันสำหรับงานอุตสาหกรรมและงานระบายน้ำเสีย,2025-11-01,0,0,0.0,0.0
1495-2567,เครื่องเรือนสำหรับสถานศึกษา : เก้าอี้เรียน,2025-11-01,0,0,0.0,0.0
1496-2560,เครื่องเรือนสำหรับสำนักงาน : ชุดตู้เหล็กเลื่อน,2025-11-01,0,0,0.0,0.0
1497-2548,ชุดหัวฉีดชะล้าง,2025-11-01,0,0,0.0,0.0
1499-2563,เหล็กกล้าทรงแบนรีดร้อน สำหรับงานโครงสร้างเชื่อมประกอบ,2025-11-01,23,54,0.7012986921909261,0.2987012948220611
15-2562,ปูนซีเมนต์ปอร์ตแลนด์,2025-11-01,15,15,0.4999999833333339,0.4999999833333339
150-2562,โซเดียมไฮดรอกไซด์สำหรับอุตสาหกรรม,2025-11-01,0,0,0.0,0.0
1500-2541,บานประตูรั้วโลหะ,2025-11-01,0,0,0.0,0.0
