tis_number,tis_name_th,snapshot_date,num_manufacturing_licenses,num_import_licenses,num_display_licenses,total_licenses,num_manufacturing_licenses_diff,num_manufacturing_licenses_pct_change,num_import_licenses_diff,num_import_licenses_pct_change,num_display_licenses_diff,num_display_licenses_pct_change,total_licenses_diff,total_licenses_pct_change
1746-2545,แอมโมเนียมไนเทรตสำหรับทำวัตถุระเบิดแอนโฟ,2025-11-01,2,89,0,91,,,,,,,,
175-2562,ไนโตรเจน,2025-11-01,0,0,12,12,,,,,,,,
176-2561,น้ำมันถั่วเหลืองสำหรับบริโภค,2025-11-01,0,0,5,5,,,,,,,,
1773-2548,เตาไมโครเวฟสำหรับใช้ในที่อยู่อาศัย เฉพาะด้านความปลอดภัย,2025-11-01,48,280,0,328,,,,,,,,
1776-2566,มอร์ตาร์สำหรับฉาบ,2025-11-01,0,0,14,14,,,,,,,,
1777-2558,แคโพรแล็กแทมสำหรับอุตสาหกรรม,2025-11-01,0,0,1,1,,,,,,,,
178-2549,แผ่นไม้อัด,2025-11-01,0,0,21,21,,,,,,,,
18-2529,กระเบื้องซีเมนต์ใยหินแผ่นลอน : ลอนลูกฟูก,2025-11-01,0,0,7,7,,,,,,,,
181-2530,กาวโพลิไวนิลอะซีเทตอิมัลชัน,2025-11-01,0,0,1,1,,,,,,,,
182-2562,สำลีที่ใช้ในการแพทย์,2025-11-01,0,0,5,5,,,,,,,,
183-2562,โกลว์สตาร์ตเตอร์สำหรับหลอดฟลูออเรสเซนซ์,2025-11-01,0,1,0,1,,,,,,,,
1878-2550,เครื่องจ่ายเชิงพาณิชย์และเครื่องขายสินค้าอัตโนมัติ เฉพาะด้านความปลอดภัย,2025-11-01,0,0,6,6,,,,,,,,
188-2547,ปูนยิปซัมสำหรับการก่อสร้าง,2025-11-01,0,0,3,3,,,,,,,,
1884-2564,เหล็กกล้าทรงแบนรีดร้อน ทนแรงดึงสูงที่ปรับปรุงสมบัติการขึ้นรูป สำหรับงานโครงสร้างรถยนต์,2025-11-01,30,99,0,129,,,,,,,,
194-2535,ลวดเหล็กกล้าคาร์บอนต่ำ,2025-11-01,0,0,43,43,,,,,,,,
1955-2551,บริภัณฑ์ส่องสว่างและบริภัณฑ์ที่คล้ายกัน : ขีดจำกัดสัญญาณรบกวนวิทยุ,2025-11-01,890,4719,0,5609,,,,,,,,
1956-2553,บริภัณฑ์เทคโนโลยีสารสนเทศ : ขีดจำกัดสัญญาณรบกวนวิทยุ,2025-11-01,0,0,20,20,,,,,,,,
1984-2543,แผ่นยิปซัมเสริมใยแก้ว,2025-11-01,0,0,2,2,,,,,,,,
199-2534,ซิป,2025-11-01,0,0,2,2,,,,,,,,
1999-2560,เหล็กกล้าทรงแบนรีดร้อน สำหรับงานโครงสร้างรถยนต์,2025-11-01,51,162,0,213,,,,,,,,
20-2559,เหล็กเส้นเสริมคอนกรีต : เหล็กเส้นกลม,2025-11-01,38,0,0,38,,,,,,,,
200-2536,ลวดเสียบกระดาษ,2025-11-01,0,0,1,1,,,,,,,,
2011-2563,เหล็กกล้าทรงแบนรีดร้อน ที่ต้านการกัดกร่อนได้ดีในบรรยากาศ,2025-11-01,1,0,0,1,,,,,,,,
2012-2558,เหล็กกล้าทรงแบนรีดเย็น สำหรับงานทั่วไปและงานดึงขึ้นรูป,2025-11-01,75,303,0,378,,,,,,,,
205-2530,พัดลมไฟฟ้ากระแสสลับชนิดแขวนเพดาน,2025-11-01,0,0,4,4,,,,,,,,
2060-2560,เหล็กกล้าทรงแบนรีดร้อน สำหรับงานถังก๊าซ,2025-11-01,10,10,0,20,,,,,,,,
2062-2558,กระติกน้ำร้อนไฟฟ้า คุณลักษณะที่ต้องการด้านความปลอดภัย,2025-11-01,14,36,0,50,,,,,,,,
2066-2552,ฝักบัวอาบน้ำ เฉพาะด้านสิ่งแวดล้อม : การประหยัดน้ำ,2025-11-01,42,564,0,606,,,,,,,,
