tis_number,tis_name_th,num_manufacturing_licenses,num_manufacturing_entrepreneurs,num_import_licenses,num_import_entrepreneurs,num_display_licenses,num_display_entrepreneurs,total_licenses,snapshot_date,num_total_entrepreneurs,import_to_manufacturing_ratio,import_dependency_ratio,domestic_share_ratio,display_to_total_ratio
1485-2540,ท่อไฟเบอร์กลาสส์ไม่รับความดันสำหรับงานอุตสาหกรรมและงานระบายน้ำเสีย,0,0,0,0,4,3,4,2025-11-01,3,0.0,0.0,0.0,0.9999997500000625
1495-2567,เครื่องเรือนสำหรับสถานศึกษา : เก้าอี้เรียน,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
1496-2560,เครื่องเรือนสำหรับสำนักงาน : ชุดตู้เหล็กเลื่อน,0,0,0,0,4,4,4,2025-11-01,4,0.0,0.0,0.0,0.9999997500000625
1497-2548,ชุดหัวฉีดชะล้าง,0,0,0,0,11,9,11,2025-11-01,9,0.0,0.0,0.0,0.9999999090909174
1499-2563,เหล็กกล้าทรงแบนรีดร้อน สำหรับงานโครงสร้างเชื่อมประกอบ,23,16,54,36,0,0,77,2025-11-01,52,2.347825984877131,0.7012986921909261,0.2987012948220611,0.0
15-2562,ปูนซีเมนต์ปอร์ตแลนด์,15,9,15,12,0,0,30,2025-11-01,21,0.9999999333333378,0.4999999833333339,0.4999999833333339,0.0
150-2562,โซเดียมไฮดรอกไซด์สำหรับอุตสาหกรรม,0,0,0,0,8,6,8,2025-11-01,6,0.0,0.0,0.0,0.9999998750000157
1500-2541,บานประตูรั้วโลหะ,0,0,0,0,2,2,2,2025-11-01,2,0.0,0.0,0.0,0.99999950000025
1501-2564,เหล็กกล้าทรงแบนรีดร้อน สำหรับงานโครงสร้างเครื่องจักรกล,21,17,42,23,0,0,63,2025-11-01,40,1.9999999047619093,0.6666666560846563,0.3333333280423281,0.0
1505-2541,ชิ้นส่วนคอนกรีตมวลเบาแบบมีฟองอากาศ-อบไอน้ำ,0,0,0,0,20,11,20,2025-11-01,11,0.0,0.0,0.0,0.9999999500000024
1510-2541,แผ่นคอนกรีตมวลเบาเสริมเหล็กแบบมีฟองอากาศ-อบไอน้ำ,0,0,0,0,3,2,3,2025-11-01,2,0.0,0.0,0.0,0.9999996666667778
1512-2563,สีย้อมไม้ชนิดน้ำ,0,0,0,0,2,2,2,2025-11-01,2,0.0,0.0,0.0,0.99999950000025
1513-2563,สีย้อมเคลือบไม้ชนิดตัวทำละลาย,0,0,0,0,5,5,5,2025-11-01,5,0.0,0.0,0.0,0.99999980000004
1521-2541,กาวสำหรับกระดาษ,0,0,0,0,5,3,5,2025-11-01,3,0.0,0.0,0.0,0.99999980000004
1529-2561,เครื่องปรับอากาศ คุณลักษณะที่ต้องการด้านความปลอดภัย,32,28,107,61,0,0,139,2025-11-01,89,3.343749895507816,0.7697841671238549,0.23021582568190055,0.0
153-2565,อิฐกลวงก่อแผงไม่รับน้ำหนัก,0,0,0,0,7,7,7,2025-11-01,7,0.0,0.0,0.0,0.9999998571428775
155-2562,น้ำหวานเข้มข้น,0,0,0,0,2,1,2,2025-11-01,1,0.0,0.0,0.0,0.99999950000025
156-2518,พิวเตอร์,0,0,0,0,2,2,2,2025-11-01,2,0.0,0.0,0.0,0.99999950000025
1561-2556,บริภัณฑ์เทคโนโลยีสารสนเทศ - ความปลอดภัย เล่ม 1 คุณลักษณะที่ต้องการทั่วไป,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
1568-2541,บานประตูโพลิเอสเตอร์เสริมใยแก้ว,0,0,0,0,9,8,9,2025-11-01,8,0.0,0.0,0.0,0.9999998888889013
1569-2541,วงกบโพลิเอสเตอร์เสริมใยแก้วสำหรับประตู,0,0,0,0,3,3,3,2025-11-01,3,0.0,0.0,0.0,0.9999996666667778
158-2518,กระเบื้องดินเผามุงหลังคา,0,0,0,0,5,3,5,2025-11-01,3,0.0,0.0,0.0,0.99999980000004
1580-2541,บัตรชี้บ่งลักษณะเฉพาะตัว - ลักษณะสมบัติทางกายภาพ,0,0,0,0,2,1,2,2025-11-01,1,0.0,0.0,0.0,0.99999950000025
163-2535,ลวดเหล็กกล้าคาร์บอนต่ำอบอ่อน,0,0,0,0,2,2,2,2025-11-01,2,0.0,0.0,0.0,0.99999950000025
1641-2552,เตาย่าง เตาปิ้ง และเครื่องทำอาหารเคลื่อนย้ายได้ที่คล้ายกัน เฉพาะด้านความปลอดภัย,31,21,621,166,0,0,652,2025-11-01,187,20.032257418314277,0.9524539862692424,0.04754601219701532,0.0
165-2554,สารส้ม,0,0,0,0,24,16,24,2025-11-01,16,0.0,0.0,0.0,0.999999958333335
1651-2541,วงกบและกรอบบานโลหะสำหรับประตูและหน้าต่าง : วงกบเหล็กกล้า,0,0,0,0,21,21,21,2025-11-01,21,0.0,0.0,0.0,0.9999999523809546
166-2549,เต้าเสียบและเต้ารับสำหรับใช้ในที่อยู่อาศัยและงานทั่วไปที่มีจุดประสงค์คล้ายกัน : เต้าเสียบและเต้ารับที่มีแรงดันไฟฟ้าที่กำหนดไม่เกิน 250 โวลต์,65,57,160,86,0,0,225,2025-11-01,143,2.4615384236686397,0.7111111079506173,0.2888888876049383,0.0
167-2528,อิฐประดับคัลเซียมซิลิเกตหรืออิฐปูนขาวทราย,0,0,0,0,2,1,2,2025-11-01,1,0.0,0.0,0.0,0.99999950000025
1677-2541,แท่นประทับตรา,0,0,0,0,3,2,3,2025-11-01,2,0.0,0.0,0.0,0.9999996666667778
