tis_number,tis_name_th,snapshot_date,num_total_entrepreneurs,import_dependency_ratio,entrepreneur_risk_raw,entrepreneur_risk_norm,import_dependency_norm,risk_score,risk_label
167-2528,อิฐประดับคัลเซียมซิลิเกตหรืออิฐปูนขาวทราย,2025-11-01,1,0.0,0.5,1.0,0.0,50.0,medium
1677-2541,แท่นประทับตรา,2025-11-01,2,0.0,0.3333333333333333,0.6660406885758998,0.0,33.30203442879499,low
1678-2541,หมึกประทับตรา,2025-11-01,1,0.0,0.5,1.0,0.0,50.0,medium
1693-2547,เครื่องทำน้ำร้อนไฟฟ้า น้ำผ่านร้อนทันที เฉพาะด้านความปลอดภัย,2025-11-01,64,0.6553398026439815,0.015384615384615385,0.02894907908992416,0.6553398103538616,34.21444447218929,low
17-2561,ท่อพีวีซีแข็งสำหรับใช้เป็นท่อน้ำดื่ม,2025-11-01,39,0.0238095232426304,0.025,0.048215962441314555,0.02380952352274244,3.60127429820285,low
173-2529,ยางฟองน้ำลาเทกซ์,2025-11-01,1,0.0,0.5,1.0,0.0,50.0,medium
1732-2558,กระจกเงา,2025-11-01,2,0.0,0.3333333333333333,0.6660406885758998,0.0,33.30203442879499,low
1735-2563,เหล็กกล้าแผ่นม้วนรีดร้อน สำหรับงานท่อ,2025-11-01,23,0.611111094135803,0.041666666666666664,0.08161189358372456,0.6111111013253453,34.636149745453494,low
1745-2547,ผลิตภัณฑ์ซักผ้าชนิดเหลว,2025-11-01,3,0.0,0.25,0.4990610328638498,0.0,24.953051643192488,low
1746-2545,แอมโมเนียมไนเทรตสำหรับทำวัตถุระเบิดแอนโฟ,2025-11-01,19,0.9780219672744839,0.05,0.09830985915492958,0.9780219787806247,53.816591896777716,medium
175-2562,ไนโตรเจน,2025-11-01,7,0.0,0.125,0.24859154929577465,0.0,12.429577464788732,low
176-2561,น้ำมันถั่วเหลืองสำหรับบริโภค,2025-11-01,3,0.0,0.25,0.4990610328638498,0.0,24.953051643192488,low
1773-2548,เตาไมโครเวฟสำหรับใช้ในที่อยู่อาศัย เฉพาะด้านความปลอดภัย,2025-11-01,55,0.8536585339827484,0.017857142857142856,0.03390342052313883,0.85365854402579,44.37809822744644,medium
